name,nodes,links,ftime_ms,ttime_cons_ms,ttime_conv_ms,fstate,tstate,path,conv
fattree4conv, 20, 32, 355, 1, 21170, 146, 33, 20, 204
fattree6conv, 45, 108, 629, 20, 45393, 1473, 211, 81, 855
fattree8conv, 80, 256, 15042, 448, 147300, 47578, 3801, 304, 3280
fattree10conv, 125, 500, 175381, 5167, 13960, 345115, 23356, 25, 175
fattree4cons, 20, 32, 340, 1, 46447, 146, 33, 92, 884
fattree6cons, 45, 108, 643, 14, 467896, 1473, 211, 1278, 9522
fattree8cons, 80, 256, 15136, 216, 7201426, 47578, 1583, 18607, 134569
fattree10cons, 125, 500, 175672, 307, 7204384, 345115, 907, 18875, 132125
fattree4base, 20, 32, 339, 3, 226568, 146, 138, 250, 2126
fattree6base, 45, 108, 625, 84, 2316813, 1473, 1471, 7857, 55575
fattree8base, 80, 256, 15101, 86, 7202254, 47578, 1681, 20066, 140462
fattree10base, 125, 500, 172121, 255, 7209218, 345115, 802, 17472, 122304
